State,County,Obama,Romney,obama_rate,romney_rate
GA,Candler,2344,1155,67.0,33.0
GA,Carroll,28249,12635,69.1,30.9
GA,Catoosa,17848,5357,76.9,23.1
GA,Charlton,2527,1197,67.9,32.1
GA,Chatham,47083,60077,43.9,56.1
GA,Chattahoochee,732,726,50.2,49.8
GA,Chattooga,5434,2220,71.0,29.0
GA,Cherokee,76473,19813,79.4,20.6
GA,Clarke,13804,25386,35.2,64.8
GA,Clay,537,862,38.4,61.6
GA,Clayton,14158,81439,14.8,85.2
GA,Clinch,1598,852,65.2,34.8
GA,Cobb,171464,132526,56.4,43.6
GA,Coffee,9242,5048,64.7,35.3
GA,Colquitt,9240,3971,69.9,30.1
GA,Columbia,41724,16420,71.8,28.2
GA,Cook,3934,2042,65.8,34.2
GA,Coweta,39633,15156,72.3,27.7
GA,Crawford,3366,1699,66.5,33.5
GA,Crisp,4179,3160,56.9,43.1
GA,Dade,4458,1404,76.0,24.0
GA,Dawson,8843,1241,87.7,12.3
GA,Decatur,5816,4580,55.9,44.1
GA,DeKalb,64308,237704,21.3,78.7
GA,Dodge,5214,2440,68.1,31.9
GA,Dooly,1983,2278,46.5,53.5
GA,Dougherty,11441,26209,30.4,69.6
GA,Douglas,26226,28410,48.0,52.0
GA,Early,2556,2762,48.1,51.9
GA,Echols,917,173,84.1,15.9
GA,Effingham,15591,4941,75.9,24.1
GA,Elbert,4857,3179,60.4,39.6
GA,Emanuel,5086,2919,63.5,36.5
GA,Evans,2267,1266,64.2,35.8
GA,Fannin,7853,2027,79.5,20.5
GA,Fayette,38046,19703,65.9,34.1
GA,Floyd,22636,9595,70.2,29.8
GA,Forsyth,65853,14544,81.9,18.1
GA,Franklin,6112,1499,80.3,19.7
GA,Fulton,133837,248479,35.0,65.0
GA,Gilmer,8920,1955,82.0,18.0
GA,Glascock,1135,176,86.6,13.4
GA,Glynn,20853,11922,63.6,36.4
GA,Gordon,13174,3436,79.3,20.7
GA,Grady,5922,3419,63.4,36.6
GA,Greene,5067,3195,61.3,38.7
GA,Gwinnett,159563,131879,54.7,45.3
GA,Habersham,12148,2297,84.1,15.9
GA,Hall,45918,12489,78.6,21.4
GA,Hancock,764,3301,18.8,81.2
GA,Haralson,8439,1787,82.5,17.5
GA,Harris,11193,4141,73.0,27.0
GA,Hart,6516,2869,69.4,30.6
GA,Heard,3155,947,76.9,23.1
GA,Henry,46299,43374,51.6,48.4
GA,Houston,34631,22643,60.5,39.5
GA,Irwin,2519,1134,69.0,31.0
GA,Jackson,19122,4236,81.9,18.1
GA,Jasper,4121,1839,69.1,30.9
GA,Jeff Davis,3994,1271,75.9,24.1
GA,Jefferson,2992,4238,41.4,58.6
GA,Jenkins,1884,1487,55.9,44.1
GA,Johnson,2440,1305,65.2,34.8
GA,Jones,7740,4272,64.4,35.6
GA,Lamar,4896,2602,65.3,34.7
GA,Lanier,1812,1108,62.1,37.9
GA,Laurens,11947,7508,61.4,38.6
GA,Lee,10310,3187,76.4,23.6
GA,Liberty,5558,10427,34.8,65.2
GA,Lincoln,2806,1586,63.9,36.1
GA,Long,2300,1434,61.6,38.4
GA,Lowndes,21176,17118,55.3,44.7
GA,Lumpkin,8633,2049,80.8,19.2
GA,Macon,1545,3211,32.5,67.5
GA,Madison,8441,2486,77.2,22.8
GA,Marion,1731,1411,55.1,44.9
GA,McDuffie,5475,4041,57.5,42.5
GA,McIntosh,3405,2860,54.3,45.7
GA,Meriwether,4855,4328,52.9,47.1
GA,Miller,1904,848,69.2,30.8
